"ID","label","author","decade","nationality"
"tolstoy_anna_1920_ru.txt","tolstoy_anna_1920_ru.txt","tolstoy",1920,"ru"
"dickens_copperfield_1850_de.txt","dickens_copperfield_1850_de.txt","dickens",1850,"de"
"kafka_urteil_1913_de.txt","kafka_urteil_1913_de.txt","kafka",1910,"de"
"kafka_landarzt_1920_de.txt","kafka_landarzt_1920_de.txt","kafka",1920,"de"
"hoffmann_nacht_1817_de.txt","hoffmann_nacht_1817_de.txt","hoffmann",1810,"de"
"storm_basch_1887_de.txt","storm_basch_1887_de.txt","storm",1880,"de"
"musil_mann3_1930_de.txt","musil_mann3_1930_de.txt","musil",1930,"de"
"tolstoy_herrknecht_1916_ru.txt","tolstoy_herrknecht_1916_ru.txt","tolstoy",1910,"ru"
"storm_schimmelreiter_1888_de.txt","storm_schimmelreiter_1888_de.txt","storm",1880,"de"
"kretzer_timpe_1888_de.txt","kretzer_timpe_1888_de.txt","kretzer",1880,"de"
"wassermann_spiegel_1911_de.txt","wassermann_spiegel_1911_de.txt","wassermann",1910,"de"
"reventlow_dames_1913_de.txt","reventlow_dames_1913_de.txt","reventlow",1910,"de"
"hagenauer_muspilli_1900_de.txt","hagenauer_muspilli_1900_de.txt","hagenauer",1900,"de"
"meyer_borgia_1891_de.txt","meyer_borgia_1891_de.txt","meyer",1890,"de"
"may_kurdistan_1892_de.txt","may_kurdistan_1892_de.txt","may",1890,"de"
"mann_venedig_1913_de.txt","mann_venedig_1913_de.txt","mann",1910,"de"
"dickens_twist_1838_de.txt","dickens_twist_1838_de.txt","dickens",1830,"de"
"fontane_stechlin_1899_de.txt","fontane_stechlin_1899_de.txt","fontane",1890,"de"
"musil_toerless_1906_de.txt","musil_toerless_1906_de.txt","musil",1900,"de"
"fontane_briest_1896_de.txt","fontane_briest_1896_de.txt","fontane",1890,"de"
"tolstoy_romanehe_1921_ru.txt","tolstoy_romanehe_1921_ru.txt","tolstoy",1920,"ru"
"brod_beer_1912_de.txt","brod_beer_1912_de.txt","brod",1910,"de"
"hoffmann_zaches_1819_de.txt","hoffmann_zaches_1819_de.txt","hoffmann",1810,"de"
"walser_spaziergang_1917_de.txt","walser_spaziergang_1917_de.txt","walser",1910,"de"
"keller_sinngedicht_1882_de.txt","keller_sinngedicht_1882_de.txt","keller",1880,"de"
"conradi_adam_1889_de.txt","conradi_adam_1889_de.txt","conradi",1880,"de"
"lasswitz_seife_1890_de.txt","lasswitz_seife_1890_de.txt","lasswitz",1890,"de"
"schubin_vollmondzauber01_1899_de.txt","schubin_vollmondzauber01_1899_de.txt","schubin",1890,"de"
"storm_doppelgaenger_1887_de.txt","storm_doppelgaenger_1887_de.txt","storm",1880,"de"
"grillparzer_spielmann_1847_de.txt","grillparzer_spielmann_1847_de.txt","grillparzer",1840,"de"
"wassermann_moloch_1902_de.txt","wassermann_moloch_1902_de.txt","wassermann",1900,"de"
"akunian_fluegel_1895_de.txt","akunian_fluegel_1895_de.txt","akunian",1890,"de"
"may_wuste_1892_de.txt","may_wuste_1892_de.txt","may",1890,"de"
"achleitner_tann_1897_de.txt","achleitner_tann_1897_de.txt","achleitner",1890,"de"
"heyking_erzaehlungen_1918_de.txt","heyking_erzaehlungen_1918_de.txt","heyking",1910,"de"
"achleitner_bergrichters_1900_de.txt","achleitner_bergrichters_1900_de.txt","achleitner",1900,"de"
"preuschen_yoshiwara_1920_de.txt","preuschen_yoshiwara_1920_de.txt","preuschen",1920,"de"
"walser_prosastücke_1917_de.txt","walser_prosastücke_1917_de.txt","walser",1910,"de"
"hesse_rad_1906_de.txt","hesse_rad_1906_de.txt","hesse",1900,"de"
"schubin_vollmondzauber02_1899_de.txt","schubin_vollmondzauber02_1899_de.txt","schubin",1890,"de"
"kafka_hungerkünstler_1924_de.txt","kafka_hungerkünstler_1924_de.txt","kafka",1920,"de"
"stifter_nachsommer_1857_de.txt","stifter_nachsommer_1857_de.txt","stifter",1850,"de"
"stifter_buntesteine_1853_de.txt","stifter_buntesteine_1853_de.txt","stifter",1850,"de"
"hauptmann_bahnwaerter_1892_de.txt","hauptmann_bahnwaerter_1892_de.txt","hauptmann",1890,"de"
"dickens_zweist_1859_de.txt","dickens_zweist_1859_de.txt","dickens",1850,"de"
"einstein_bebuquin_1912_de.txt","einstein_bebuquin_1912_de.txt","einstein",1910,"de"
"storm_riew_1885_de.txt","storm_riew_1885_de.txt","storm",1880,"de"
"dickens_weihnachts_1843_de.txt","dickens_weihnachts_1843_de.txt","dickens",1840,"de"
"spyri_heidilehr_1880_de.txt","spyri_heidilehr_1880_de.txt","spyri",1880,"de"
"schreiner_halket_1898_de.txt","schreiner_halket_1898_de.txt","schreiner",1890,"de"
"schnitzler_casanova_1918_de.txt","schnitzler_casanova_1918_de.txt","schnitzler",1910,"de"
"fontane_irrungen_1888_de.txt","fontane_irrungen_1888_de.txt","fontane",1880,"de"
"heiberg_todsunden_1891_de.txt","heiberg_todsunden_1891_de.txt","heiberg",1890,"de"
"heiberg_charaktere_1901_de.txt","heiberg_charaktere_1901_de.txt","heiberg",1900,"de"
"bonsels_maja_1912_de.txt","bonsels_maja_1912_de.txt","bonsels",1910,"de"
"flaubert_november_1842_fra.txt","flaubert_november_1842_fra.txt","flaubert",1840,"fra"
"kafka_schloss_1925_de.txt","kafka_schloss_1925_de.txt","kafka",1920,"de"
"kafka_bau_1928_de.txt","kafka_bau_1928_de.txt","kafka",1920,"de"
"mann_tonio_1903_de.txt","mann_tonio_1903_de.txt","mann",1900,"de"
"bierbaum_stilpe_1897_de.txt","bierbaum_stilpe_1897_de.txt","bierbaum",1890,"de"
"walser_jakob_1909_de.txt","walser_jakob_1909_de.txt","walser",1900,"de"
"kraft_medizinmann_1896_de.txt","kraft_medizinmann_1896_de.txt","kraft",1890,"de"
"akunian_bittersuess_1891_de.txt","akunian_bittersuess_1891_de.txt","akunian",1890,"de"
"flaubert_salambo_1863_fra.txt","flaubert_salambo_1863_fra.txt","flaubert",1860,"fra"
"kafka_strafkolonie_1919_de.txt","kafka_strafkolonie_1919_de.txt","kafka",1910,"de"
"strindberg_magd_1921_sca.txt","strindberg_magd_1921_sca.txt","strindberg",1920,"sca"
"meyer_richterin_1885_de.txt","meyer_richterin_1885_de.txt","meyer",1880,"de"
"flaubert_schlichtes_1877_fra.txt","flaubert_schlichtes_1877_fra.txt","flaubert",1870,"fra"
"mann_tristan_1903_de.txt","mann_tristan_1903_de.txt","mann",1900,"de"
"kafka_verwandlung_1915_de.txt","kafka_verwandlung_1915_de.txt","kafka",1910,"de"
"raabe_stopfkuchen_1891_de.txt","raabe_stopfkuchen_1891_de.txt","raabe",1890,"de"
"bonsels_indien_1916_de.txt","bonsels_indien_1916_de.txt","bonsels",1910,"de"
"walser_kleine_1914_de.txt","walser_kleine_1914_de.txt","walser",1910,"de"
"polenz_buettnerbauer_1895_de.txt","polenz_buettnerbauer_1895_de.txt","polenz",1890,"de"
