"Filename","Segment","WC","adverb","negate","quant","posemo","anx","anger","sad","family","friend","female","male","insight","cause","discrep","tentat","certain","differ","see","hear","feel","body","health","sexual","ingest","affiliation","achiev","power","reward","risk","motion","space","work","leisure","home","money","relig","death","exp_relate","exp_body","exp_imperson","exp_affect","exp_space","exp_drives","exp_concerns","exp_transc","experiential","epistemic"
"hamsun_sklaven_1922_sca.txt",1,27120,4.23,1.51,2.76,3.03,0.34,0.56,0.91,0.71,0.37,0.41,3.9,1.85,1.59,1.96,2.57,2.68,3.3,1.38,1.56,0.39,1.48,0.64,0.31,0.8,1.29,2.3,2.18,0.47,0.4,2.89,12.18,1.39,1.55,0.32,1.04,0.88,0.29,5.39,3.23,4.96,4.84,18.4,6.64,4.3,1.17,43.97,22.45
"flaubert_herodias_1877_fra.txt",1,9883,2.45,0.91,1.63,2.32,0.38,0.93,0.83,0.72,0.12,0.23,2.59,1.34,1.57,1.35,1.85,1.83,2.32,1.24,1.08,0.46,2.41,0.4,0.26,0.37,0.56,2.77,1.75,0.3,0.41,2.48,12.09,0.87,0.7,0.33,0.45,1.07,0.36,3.66,3.44,4.47,4.46,17.35,5.79,2.35,1.43,38.48,15.25
"meissner_prinzessin_1882_de.txt",1,29890,3.89,1.64,2.59,3.66,0.52,0.59,1.08,0.62,0.19,0.75,2.15,1.79,1.72,2.51,2.46,3.19,3.67,0.9,1.2,0.53,1.16,0.32,0.39,0.13,1.36,2.56,2.18,0.64,0.56,2.87,11.97,1.21,0.6,0.19,0.42,1.02,0.35,3.71,2,4.46,5.85,17.47,7.3,2.42,1.37,40.12,23.46
"goethe_meisterwander_1829_de.txt",1,147391,4.51,1.54,2.6,4.91,0.39,0.33,0.74,0.76,0.51,0.32,1.84,2.85,1.92,2.52,3.13,3.61,4.42,1.1,0.89,0.43,0.78,0.53,0.31,0.18,2.06,3.12,1.79,0.76,0.49,2.33,11.32,2.3,0.86,0.42,0.62,0.58,0.17,3.43,1.8,5.96,6.37,16.07,8.22,4.2,0.75,40.84,27.1
"sturza_geluebde_1905_de.txt",1,45570,4.22,2.15,2.22,5.26,0.61,0.73,1.56,1.05,0.22,0.94,1.83,2.49,2,3.09,3.25,3.41,4.56,1.2,1.27,0.58,1.76,0.72,0.68,0.19,1.49,2.98,2.24,0.61,0.53,2.52,10,1.41,0.78,0.34,0.5,0.7,0.22,4.04,3.35,4.55,8.16,15.57,7.85,3.03,0.92,42.92,27.39
"musil_mann1_1930_de.txt",1,269686,4.97,1.82,2.84,3.75,0.39,0.57,0.71,0.56,0.23,0.24,2.16,3.09,2.34,2.94,3.71,3.66,5.17,0.85,0.91,0.66,1.22,0.62,0.36,0.26,1.17,3.46,2.17,0.5,0.47,1.97,10.44,2.2,0.7,0.28,0.57,0.68,0.21,3.19,2.46,6.58,5.42,14.83,7.77,3.75,0.89,38.31,30.54
"flaubert_bovary_1857_fra.txt",1,115492,3.88,1.3,2.35,3.03,0.35,0.41,1.04,0.79,0.29,0.58,2.52,1.58,1.71,1.97,2.28,2.74,3.38,1.08,1.06,0.62,1.75,0.77,0.43,0.47,0.91,2.53,1.85,0.35,0.34,2.61,11.85,1.55,1.06,0.64,0.72,0.73,0.22,4.18,3.42,5.03,4.83,17.22,5.98,3.97,0.95,40.55,21.19
"hoffmann_topf_1819_de.txt",1,29223,4.05,1.11,1.94,4.08,0.43,0.53,0.99,0.57,0.3,0.41,2.25,1.96,1.79,2.07,2.39,2.68,3.42,1.26,1.27,0.6,1.44,0.72,0.51,0.51,1.19,2.52,2.23,0.48,0.35,2.41,10.57,1.6,0.83,0.57,0.37,0.82,0.2,3.53,3.18,3.97,6.03,16.11,6.77,3.37,1.02,40.01,21.41
"spyri_heidibrauchen_1881_de.txt",1,37321,5.44,1.61,3.25,4.21,0.32,0.27,0.52,0.71,0.23,0.18,2.54,1.63,1.93,3.07,2.74,4.1,4.1,1.32,1.33,0.48,1.03,0.45,0.21,0.43,1.29,2.78,1.85,0.37,0.24,2.98,11.83,1.11,0.8,0.43,0.29,0.7,0.04,3.66,2.12,5.4,5.32,17.94,6.53,2.63,0.74,38.94,27.87
"falke_durchschnitt_1892_de.txt",1,32652,4.07,1.66,2.18,4.13,0.5,0.58,0.99,1.39,0.39,1.34,2.09,1.88,1.53,2.37,2.73,2.85,3.95,1.04,0.94,0.62,1.3,0.7,0.35,0.43,1.35,2.64,2.04,0.56,0.51,2.3,10.25,1.49,1.11,0.46,0.62,0.47,0.21,5.21,2.78,4.86,6.2,15.15,7.1,3.68,0.68,40.8,23.22
