"Filename","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function","pronoun","ppron","i","we","you_total","you_sing","you_plur","you_formal","other","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achiev","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP","SMOG.de","MSTTR","exp_relate","exp_body","exp_imperson","exp_affect","exp_space","exp_drives","exp_concerns","exp_transc","experiential","epistemic","literariness"
"achleitner_bergrichters_1900_de.txt",1,45732,94.63,69.23,18.2,32.83,13.07,28.58,77.68,49.74,11.38,6.47,1.61,0.23,0.64,0.44,0.19,0,3.25,3.16,1.22,3.74,13.25,11.11,7.25,3.64,10.38,1.76,14.42,5.62,1.55,1.37,0.77,1.93,5.49,3.07,2.38,0.47,0.55,0.94,11.6,1.12,0.17,0.53,1.7,13.29,2.06,1.91,2.19,2.33,3.18,3.17,2.31,0.8,0.87,0.42,2.46,0.91,0.61,0.28,0.33,6.89,1.05,2.51,2.78,0.45,0.65,4.75,4.06,0.98,16.67,2.6,9.57,5.76,2.62,0.54,0.46,0.87,0.9,0.28,1.74,0.03,0.16,0.41,0.08,0.13,21.73,4.24,7.51,0.26,0.17,0.88,2.64,0.24,4.48,0.87,0.2,0.22,5.244061955931,0.76774269005848,3.52,2.13,4.51,5.03,14.26,7.44,4.49,1.18,38.05,22.17,64.5577426900585
"preuschen_yoshiwara_1920_de.txt",1,20686,68.85,84.09,6.32,74.23,14.25,23.3,80.39,52.49,16.34,11.33,1.29,0.25,1.71,0.66,1.05,0,8.14,8.01,6.06,4.05,9.74,11.07,6.89,4.07,12.06,1.13,14.22,7.4,2.25,1.51,0.93,2.63,5.93,4.06,1.82,0.33,0.33,0.78,16.41,0.58,0.18,0.98,1.1,13.11,1.73,1.97,2.4,2.57,3.07,3.49,3.39,1.39,0.92,0.67,3.07,1.28,0.6,0.37,0.45,6.1,0.98,3.05,1.92,0.4,0.22,7.6,2.5,0.77,19.17,2.39,10.84,6.97,1.24,0.97,0.38,0.53,0.99,0.3,1.17,0.01,0.08,0.16,0.03,0.01,19.18,6.33,9.18,0.15,0.12,0.52,0.25,0.16,1.95,0.31,0.21,0,5.35211339878347,0.78136,2.84,2.7,4.98,5.5,16.21,6.57,3.12,1.29,38.23,23.06,57.67136
"walser_prosastücke_1917_de.txt",1,11428,46.9,68.92,20.86,75.35,24.21,25.96,85.2,54.84,16.28,10.62,3.43,0.63,0.63,0.42,0.21,0,5.32,5.24,1.52,4.63,9.65,10.32,7.5,4.37,14.81,1.61,14.47,9.72,2.49,1.79,0.43,2.99,10.6,6.41,4.12,0.63,0.93,2.09,14.6,0.55,0.32,0.39,2.28,14.44,1.76,1.94,2.39,3.4,3.59,3.95,3.64,1.13,1.16,0.8,3.7,1.42,0.75,0.39,0.51,7.19,1.45,3.38,2.14,0.54,0.4,6.13,3.12,0.67,17.11,2.14,10.33,5.72,1.51,1.07,0.44,0.77,0.52,0.32,1.32,0.06,0.15,0.17,0.04,0.01,17.58,3.96,10.98,0.32,0.08,0.47,0.22,0.37,1.14,0.03,0.02,0.01,5.74544315710334,0.78848200312989,3.54,3.07,5.06,10.06,15.56,7.91,3.79,0.84,44.77,26,68.7084820031299
"hesse_rad_1906_de.txt",1,49067,77.33,76.23,12.19,33.23,20.61,25.29,82.41,52.3,13.22,8.21,0.43,0.09,0.65,0.53,0.12,0,6.14,6.08,1.04,4.29,10.75,11.26,6.99,4.29,13.52,1.47,14.28,8.18,2.08,1.11,0.75,2.75,6.55,3.63,2.91,0.65,0.53,1.14,13.61,0.46,0.45,0.17,3.26,12.45,1.61,1.47,1.98,2.74,2.83,3.71,3.5,1.3,1,0.88,3.47,1.62,0.77,0.39,0.72,5.7,0.89,2.74,1.7,0.33,0.44,8.25,1.92,0.58,19.27,2.45,10.67,7.33,2.29,1.14,0.58,0.4,0.64,0.23,1.39,0.06,0.1,0.24,0.04,0.05,16.98,4.95,8.42,0.13,0.19,0.41,0.28,0.22,1.94,0.27,0,0.17,4.67905543304047,0.777255639097744,4.34,3.5,5.04,5.95,16.3,6.1,4.41,0.87,41.47,22.85,63.8972556390977
"schubin_vollmondzauber02_1899_de.txt",1,29393,84.55,77.2,12.53,32.05,15.36,23.99,79.88,52.94,15.77,10.56,1.54,0.13,0.95,0.48,0.46,0,6.86,6.73,3.44,4.31,12.41,11.11,7.37,4.05,9.84,1.66,14.36,6.9,1.79,1.39,1.65,2.48,5.88,3.26,2.59,0.56,0.55,0.89,15.56,0.8,0.45,0.67,2.07,12.72,1.92,1.6,2.22,2.44,3.04,3.72,3.27,1.28,1.08,0.66,3.7,1.74,0.94,0.31,0.28,5.39,1.05,2.32,1.79,0.41,0.27,7.02,2.83,0.7,18.79,2.39,11.13,6.48,1.05,1.09,0.46,0.38,0.71,0.38,1.43,0.05,0.1,0.25,0.12,0.05,22.19,5.58,10.7,0.18,0.27,0.57,0.6,0.04,1.84,0.55,0.01,1.85,9.71979433162993,0.797715877437326,3.99,3.27,5.96,5.26,16.54,5.84,2.98,1.09,38.97,23.13,62.5877158774373
"kafka_hungerkünstler_1924_de.txt",1,13107,31.86,67.02,23.71,42.76,35.42,26.07,86.95,58.58,17.41,10.03,1.46,1.26,0.6,0.05,0.56,0,5.97,5.91,3.72,6.27,9.43,10.89,8.77,6.57,12.86,2.7,15.23,7.52,2.44,1.45,0.66,3.3,6.23,3.63,2.56,0.52,0.61,0.85,15.71,0.37,0.13,0.21,0.97,20.26,2.69,2.31,3.82,4.52,4.93,6.75,2.98,0.69,1.64,0.44,3.91,1.01,0.66,0.22,0.88,7.5,1.66,3.27,2.3,0.5,0.55,4.11,4.69,0.83,17.89,1.71,10.55,6.78,1.63,1.3,0.09,0.4,0.24,0.08,1.19,0.01,0.02,0.3,0.01,0,16.31,2.63,11.24,0.07,1.28,0.24,0.04,0.03,0.34,0.01,0,0.44,2.83160697457262,0.740202702702703,1.68,2.77,6.93,5.61,15.03,8.28,3.42,0.32,37.11,37.59,78.8402027027027
"stifter_nachsommer_1857_de.txt",1,248181,63.79,62.7,72.31,83.6,25.98,23.06,85.5,58.98,17.59,11.46,4.69,1.25,0.92,0.25,0.67,0,4.36,4.23,2.29,5.13,11.44,11.67,8.6,4.22,12.18,1.42,16.48,7.03,2.8,1.67,0.48,2.58,4.75,3.72,1.01,0.11,0.17,0.44,13.12,0.8,0.53,0.34,1.3,14.86,2.04,2.15,2.38,3.42,2.97,4.57,2.95,1.47,0.81,0.45,2.04,0.63,0.41,0.28,0.23,7.43,2.37,3.25,1.58,0.48,0.28,8.26,2.92,0.81,20.49,2.56,12.65,6.32,2.04,0.92,0.88,0.45,0.4,0.13,0.83,0,0.02,0.13,0,0,15.89,4.14,9.76,0.1,0.23,0.09,0.02,0.1,1.34,0,0,0.11,5.37767564697138,0.76530303030303,2.97,1.55,5.61,4.44,17.94,7.96,4.29,0.53,39.68,25.75,65.825303030303
"stifter_buntesteine_1853_de.txt",1,97051,77.02,71.45,34.43,50.31,26.46,21.3,84.09,57.83,15.3,9.21,2.01,0.69,0.36,0.2,0.16,0,5.46,5.25,2.56,4.85,13.35,11.09,8.34,3.61,13.33,1.42,16.32,6.33,2.38,1.36,0.44,2.37,3.85,2.57,1.24,0.2,0.22,0.44,13.9,1.26,0.22,0.63,2.01,12.94,1.37,2.07,2.44,2.99,2.89,4.21,3,1.29,0.92,0.58,2.39,0.86,0.43,0.24,0.48,6.4,1.71,2.75,1.75,0.3,0.3,9.22,2.39,0.64,20.64,3.1,12.53,6.2,1.49,0.88,0.96,0.4,0.62,0.26,0.77,0.01,0.01,0.14,0,0,16.19,4.03,10.1,0.17,0.36,0.07,0.02,0.2,1.2,0.02,0,0,6.83007910665035,0.789282511210762,4.12,2.01,5.29,3.43,18.42,6.81,3.73,0.88,39.4,23.37,64.8792825112108
"hauptmann_bahnwaerter_1892_de.txt",1,15325,89.46,82.47,7.27,22.27,16.29,25.46,80.01,52.21,15.37,10.21,0.17,0.01,0.47,0.22,0.25,0,8.18,8.12,1.71,4.2,12.23,12.01,6.12,3.94,10.95,1.01,13.72,7.05,2.17,1.77,0.66,2.11,5.03,2.64,2.39,0.57,0.55,0.78,14.94,0.63,0.08,0.33,3.59,11.44,1.64,1.87,1.6,2.16,2.54,2.88,3.75,1.45,1.27,0.82,3.82,2.41,0.59,0.42,0.41,5.21,0.57,2.85,1.57,0.31,0.38,8.46,1.43,0.41,20.62,3.11,12.07,6.76,1.04,1.01,0.35,0.37,0.76,0.28,0.95,0.03,0.08,0.16,0.01,0.01,17.77,5.88,9.96,0.32,0.33,0.26,0.34,0.07,0.55,0.05,0,0.01,5.39467253903542,0.763055555555556,4.63,3.83,4.86,4.54,18.72,5.68,2.77,1.04,41.21,19.75,60.4430555555556
"einstein_bebuquin_1912_de.txt",1,12990,84.17,72,17.13,14.85,15.23,26,81.66,52.97,16.52,10.92,2.76,0.74,1.02,0.65,0.37,0,5.35,5.22,2.76,4.37,13.33,9.96,7.03,3.61,9.81,1.64,14.73,6.01,1.81,1.19,0.72,2.49,6.29,3.06,3.2,0.35,0.84,0.96,13.63,0.41,0.1,0.32,1.66,13.73,2.56,1.74,1.91,2.16,3.62,3.49,3.73,1.47,1.37,0.58,4.15,1.64,0.79,0.44,0.3,5.99,1.22,2.85,1.75,0.31,0.42,5.11,4.93,0.81,16.28,2.4,10.06,4.94,1.56,1.1,0.29,0.63,1.07,0.86,1.13,0.12,0.41,0.19,0.03,0,22.19,7.37,10,0.48,0.92,0.28,0.07,0.05,2.92,0.08,0.02,0.01,8.01588333973317,0.797338129496403,2.49,3.17,5.09,5.21,15.88,6.55,3.58,1.93,38.81,23.22,64.4073381294964
