"source","target","weight"
"altenberg_prodromos_1906.txt","heiberg_grevinde_1898.txt",5
"altenberg_prodromos_1906.txt","fontane_wuthenow_1883.txt",4
"altenberg_prodromos_1906.txt","lasswitz_planeten01_1897.txt",3
"altenberg_prodromos_1906.txt","goethe_faust2.txt",2
"altenberg_prodromos_1906.txt","falke_durchschnitt_1892.txt",1
"bonsels_indien_1916.txt","grillparzer_spielmann_1847.txt",10
"bonsels_indien_1916.txt","hagenauer_muspilli_1900.txt",9
"bonsels_indien_1916.txt","flaubert_november_1842.txt",8
"bonsels_indien_1916.txt","kafka_kuebelreiter_1917.txt",7
"bonsels_indien_1916.txt","brodkafka_samuel_1912.txt",6
"bonsels_indien_1916.txt","kafka_landarzt_1920.txt",5
"bonsels_indien_1916.txt","meissner_prinzessin_1882.txt",4
"bonsels_indien_1916.txt","hoffmann_nacht.txt",3
"bonsels_indien_1916.txt","brod_stunde_1916.txt",2
"bonsels_indien_1916.txt","raabe_akten_1896.txt",1
"heyking_erzaehlungen_1918.txt","lasswitz_planeten01_1897.txt",10
"heyking_erzaehlungen_1918.txt","keller_sinngedicht_1882.txt",9
"heyking_erzaehlungen_1918.txt","hoffmann_topf.txt",8
"heyking_erzaehlungen_1918.txt","hoffmann_zaches.txt",7
"heyking_erzaehlungen_1918.txt","schnitzler_casanova_1918.txt",6
"heyking_erzaehlungen_1918.txt","meissner_prinzessin_1882.txt",5
"heyking_erzaehlungen_1918.txt","kretzer_timpe_1888.txt",4
"heyking_erzaehlungen_1918.txt","lasswitz_seife_1890.txt",3
"heyking_erzaehlungen_1918.txt","storm_basch_1887.txt",2
"heyking_erzaehlungen_1918.txt","goethe_farbenlehre.txt",1
"falke_nebel_1899.txt","dickens_weihnachts_1843.txt",10
"falke_nebel_1899.txt","walser_gehuelfe_1908.txt",9
"falke_nebel_1899.txt","preuschen_yoshiwara_1920.txt",8
"falke_nebel_1899.txt","goethe_lehr.txt",7
"falke_nebel_1899.txt","heiberg_charaktere_1901.txt",6
"falke_nebel_1899.txt","bonsels_maja_1912.txt",5
"falke_nebel_1899.txt","sturza_geluebde_1905.txt",4
"falke_nebel_1899.txt","goethe_wahlverwandtschaften.txt",3
"falke_nebel_1899.txt","bierbaum_stilpe_1897.txt",2
"falke_nebel_1899.txt","sapper_pfaffling_1907.txt",1
"schreiner_halket_1898.txt","schnitzler_traumnovelle_1926.txt",10
"schreiner_halket_1898.txt","storm_riew_1885.txt",9
"schreiner_halket_1898.txt","tolstoy_herr_1916.txt",8
"schreiner_halket_1898.txt","dickens_twist_1111.txt",7
"schreiner_halket_1898.txt","kraft_medizinmann_1896.txt",6
"schreiner_halket_1898.txt","heiberg_frau_1886.txt",5
