"source","target","weight"
"spyri_heidibrauchen_1881.txt","walser_geschwister_1907.txt",3
"spyri_heidibrauchen_1881.txt","fontane_irrungen_1888.txt",2
"spyri_heidibrauchen_1881.txt","goethe_werther.txt",1
"andreas_fenitschka_1898.txt","reventlow_dames_1913.txt",3
"andreas_fenitschka_1898.txt","may_kurdistan_1892.txt",2
"andreas_fenitschka_1898.txt","dostoevskij_idiot.txt",1
"achleitner_celsissimus_1901.txt","achleitner_bergrichters_1900.txt",3
"achleitner_celsissimus_1901.txt","lasswitz_planeten02_1897.txt",2
"achleitner_celsissimus_1901.txt","raabe_odfeld_1889.txt",1
"may_kurdistan_1892.txt","may_wuste_1892.txt",3
"may_kurdistan_1892.txt","andreas_fenitschka_1898.txt",2
"may_kurdistan_1892.txt","kafka_urteil_1913.txt",1
"doeblin_butterblume_1913.txt","grillparzer_kloster_1827.txt",3
"doeblin_butterblume_1913.txt","flaubert_legende_1877.txt",2
"doeblin_butterblume_1913.txt","hauptmann_bahnwaerter_1892.txt",1
"wassermann_spiegel_1911.txt","meyer_borgia_1891.txt",3
"wassermann_spiegel_1911.txt","grillparzer_kloster_1827.txt",2
"wassermann_spiegel_1911.txt","hauptmann_bahnwaerter_1892.txt",1
"musil_mann.txt","bonsels_himmelsvolk_1915.txt",3
"musil_mann.txt","brod_beer_1912.txt",2
"musil_mann.txt","keller_sinngedicht_1882.txt",1
"musil_toerless.txt","kafka_prozess_1925.txt",3
"musil_toerless.txt","storm_doppelgaenger_1887.txt",2
"musil_toerless.txt","schnitzler_tanzerin_1905.txt",1
"altenberg_prodromos_1906.txt","hoffmann_zaches.txt",3
"altenberg_prodromos_1906.txt","lasswitz_seife_1890.txt",2
"altenberg_prodromos_1906.txt","bonsels_himmelsvolk_1915.txt",1
"bonsels_indien_1916.txt","grillparzer_spielmann_1847.txt",3
"bonsels_indien_1916.txt","hagenauer_muspilli_1900.txt",2
"bonsels_indien_1916.txt","flaubert_november_1842.txt",1
"heyking_erzaehlungen_1918.txt","lasswitz_planeten01_1897.txt",3
"heyking_erzaehlungen_1918.txt","keller_sinngedicht_1882.txt",2
"heyking_erzaehlungen_1918.txt","hoffmann_topf.txt",1
"falke_nebel_1899.txt","dickens_weihnachts_1843.txt",3
"falke_nebel_1899.txt","walser_gehuelfe_1908.txt",2
"falke_nebel_1899.txt","preuschen_yoshiwara_1920.txt",1
"schreiner_halket_1898.txt","schnitzler_traumnovelle_1926.txt",3
"schreiner_halket_1898.txt","storm_riew_1885.txt",2
"schreiner_halket_1898.txt","tolstoy_herr_1916.txt",1
"kretzer_timpe_1888.txt","schubin_vollmondzauber01_1899.txt",3
"kretzer_timpe_1888.txt","polenz_buettnerbauer_1895.txt",2
"kretzer_timpe_1888.txt","mann_zauberberg_1924.txt",1
"holz_hamlet_1889.txt","hamsun_sklaven_1922.txt",3
"holz_hamlet_1889.txt","kraft_medizinmann_1896.txt",2
"holz_hamlet_1889.txt","dickens_twist_1111.txt",1
"bonsels_himmelsvolk_1915.txt","walser_gehuelfe_1908.txt",3
"bonsels_himmelsvolk_1915.txt","musil_mann.txt",2
"bonsels_himmelsvolk_1915.txt","dickens_weihnachts_1843.txt",1
"hagenauer_muspilli_1900.txt","brod_stunde_1916.txt",3
"hagenauer_muspilli_1900.txt","grillparzer_spielmann_1847.txt",2
"hagenauer_muspilli_1900.txt","kafka_kuebelreiter_1917.txt",1
"may_winnetou_1893.txt","may_kurdistan_1892.txt",3
"may_winnetou_1893.txt","andreas_fenitschka_1898.txt",2
"may_winnetou_1893.txt","dostoevskij_idiot.txt",1
"akunian_bittersuess_1891.txt","heiberg_todsunden_1891.txt",3
"akunian_bittersuess_1891.txt","bonsels_maja_1912.txt",2
"akunian_bittersuess_1891.txt","akunian_fluegel_1895.txt",1
"achleitner_tann_1897.txt","flaubert_salambo_1863.txt",3
"achleitner_tann_1897.txt","grillparzer_kloster_1827.txt",2
"achleitner_tann_1897.txt","achleitner_bergrichters_1900.txt",1
"bonsels_maja_1912.txt","sapper_dummerle_1905.txt",3
"bonsels_maja_1912.txt","tolstoy_anna1_1920.txt",2
"bonsels_maja_1912.txt","heiberg_todsunden_1891.txt",1
"hesse_knulp_1915.txt","fontane_irrungen_1888.txt",3
"hesse_knulp_1915.txt","fontane_stechlin_1899.txt",2
"hesse_knulp_1915.txt","fontane_briest_1896.txt",1
"dickens_copperfield_1111.txt","fontane_reise_1894.txt",3
"dickens_copperfield_1111.txt","raabe_stopfkuchen_1891.txt",2
"dickens_copperfield_1111.txt","raabe_akten_1896.txt",1
"dickens_twist_1111.txt","tolstoy_herr_1916.txt",3
"dickens_twist_1111.txt","storm_schimmelreiter_1888.txt",2
"dickens_twist_1111.txt","kraft_medizinmann_1896.txt",1
"dickens_weihnachts_1843.txt","walser_gehuelfe_1908.txt",3
"dickens_weihnachts_1843.txt","falke_nebel_1899.txt",2
"dickens_weihnachts_1843.txt","bonsels_himmelsvolk_1915.txt",1
"dickens_zwei_1859.txt","hamsun_sklaven_1922.txt",3
"dickens_zwei_1859.txt","storm_schimmelreiter_1888.txt",2
"dickens_zwei_1859.txt","kraft_medizinmann_1896.txt",1
"brod_stunde_1916.txt","kafka_betrachtung_1912.txt",3
"brod_stunde_1916.txt","kafka_landarzt_1920.txt",2
"brod_stunde_1916.txt","hagenauer_muspilli_1900.txt",1
"brod_beer_1912.txt","heiberg_grevinde_1898.txt",3
"brod_beer_1912.txt","mann_tonio_1903.txt",2
"brod_beer_1912.txt","mann_tristan_1903.txt",1
"brodkafka_samuel_1912.txt","meissner_prinzessin_1882.txt",3
"brodkafka_samuel_1912.txt","raabe_akten_1896.txt",2
"brodkafka_samuel_1912.txt","fontane_wuthenow_1883.txt",1
"wassermann_moloch_1902.txt","wassermann_vierzig_1913.txt",3
"wassermann_moloch_1902.txt","meyer_richterin_1885.txt",2
"wassermann_moloch_1902.txt","strindberg_magd_1921.txt",1
"eschstruth_katz_1886.txt","mann_venedig_1913.txt",3
"eschstruth_katz_1886.txt","schubin_vollmondzauber01_1899.txt",2
"eschstruth_katz_1886.txt","keyserling_beatemareile_1903.txt",1
"lasswitz_planeten02_1897.txt","achleitner_celsissimus_1901.txt",3
"lasswitz_planeten02_1897.txt","achleitner_bergrichters_1900.txt",2
"lasswitz_planeten02_1897.txt","raabe_odfeld_1889.txt",1
"bierbaum_stilpe_1897.txt","heiberg_todsunden_1891.txt",3
"bierbaum_stilpe_1897.txt","bonsels_maja_1912.txt",2
"bierbaum_stilpe_1897.txt","akunian_bittersuess_1891.txt",1
"lasswitz_seife_1890.txt","fontane_wuthenow_1883.txt",3
"lasswitz_seife_1890.txt","walser_gehuelfe_1908.txt",2
"lasswitz_seife_1890.txt","heiberg_grevinde_1898.txt",1
"schubin_vollmondzauber02_1899.txt","schubin_etiquette_1887.txt",3
"schubin_vollmondzauber02_1899.txt","flaubert_bovary_1857.txt",2
"schubin_vollmondzauber02_1899.txt","hesse_Rad_1906.txt",1
"hamsun_weiber_1922.txt","akunian_fluegel_1895.txt",3
"hamsun_weiber_1922.txt","sturza_geluebde_1905.txt",2
"hamsun_weiber_1922.txt","sapper_vater_1915.txt",1
"hamsun_sklaven_1922.txt","dickens_zwei_1859.txt",3
"hamsun_sklaven_1922.txt","tolstoy_herr_1916.txt",2
"hamsun_sklaven_1922.txt","kraft_medizinmann_1896.txt",1
"strindberg_magd_1921.txt","hesse_Rad_1906.txt",3
"strindberg_magd_1921.txt","schubin_vollmondzauber02_1899.txt",2
"strindberg_magd_1921.txt","wassermann_moloch_1902.txt",1
"strindberg_inselbauern_1918.txt","raabe_odfeld_1889.txt",3
"strindberg_inselbauern_1918.txt","schubin_vollmondzauber02_1899.txt",2
"strindberg_inselbauern_1918.txt","hesse_Rad_1906.txt",1
"achleitner_bergrichters_1900.txt","achleitner_celsissimus_1901.txt",3
"achleitner_bergrichters_1900.txt","raabe_odfeld_1889.txt",2
"achleitner_bergrichters_1900.txt","achleitner_tann_1897.txt",1
"kraft_medizinmann_1896.txt","tolstoy_herr_1916.txt",3
"kraft_medizinmann_1896.txt","hamsun_sklaven_1922.txt",2
"kraft_medizinmann_1896.txt","dickens_zwei_1859.txt",1
"schubin_etiquette_1887.txt","schubin_vollmondzauber02_1899.txt",3
"schubin_etiquette_1887.txt","raabe_odfeld_1889.txt",2
"schubin_etiquette_1887.txt","hauptmann_bahnwaerter_1892.txt",1
"sapper_kriegsbuchlein_1914.txt","heiberg_grevinde_1898.txt",3
"sapper_kriegsbuchlein_1914.txt","brod_beer_1912.txt",2
"sapper_kriegsbuchlein_1914.txt","kretzer_timpe_1888.txt",1
"heiberg_todsunden_1891.txt","akunian_bittersuess_1891.txt",3
"heiberg_todsunden_1891.txt","bonsels_maja_1912.txt",2
"heiberg_todsunden_1891.txt","heiberg_grevinde_1898.txt",1
"polenz_buettnerbauer_1895.txt","schubin_vollmondzauber01_1899.txt",3
"polenz_buettnerbauer_1895.txt","keyserling_beatemareile_1903.txt",2
"polenz_buettnerbauer_1895.txt","falke_durchschnitt_1892.txt",1
"storm_riew_1885.txt","hamsun_sklaven_1922.txt",3
"storm_riew_1885.txt","storm_doppelgaenger_1887.txt",2
"storm_riew_1885.txt","schnitzler_traumnovelle_1926.txt",1
"sapper_vater_1915.txt","akunian_fluegel_1895.txt",3
"sapper_vater_1915.txt","akunian_bittersuess_1891.txt",2
"sapper_vater_1915.txt","sapper_dummerle_1905.txt",1
"conradi_adam_1889.txt","akunian_bittersuess_1891.txt",3
"conradi_adam_1889.txt","kafka_prozess_1925.txt",2
"conradi_adam_1889.txt","akunian_fluegel_1895.txt",1
"sapper_pfaffling_1907.txt","heiberg_charaktere_1901.txt",3
"sapper_pfaffling_1907.txt","sapper_dummerle_1905.txt",2
"sapper_pfaffling_1907.txt","bonsels_maja_1912.txt",1
"may_wuste_1892.txt","may_kurdistan_1892.txt",3
"may_wuste_1892.txt","dostoevskij_idiot.txt",2
"may_wuste_1892.txt","schnitzler_tanzerin_1905.txt",1
"falke_durchschnitt_1892.txt","polenz_buettnerbauer_1895.txt",3
"falke_durchschnitt_1892.txt","keyserling_beatemareile_1903.txt",2
"falke_durchschnitt_1892.txt","mann_tristan_1903.txt",1
"storm_schimmelreiter_1888.txt","tolstoy_herr_1916.txt",3
"storm_schimmelreiter_1888.txt","dickens_twist_1111.txt",2
"storm_schimmelreiter_1888.txt","dickens_zwei_1859.txt",1
"sturza_geluebde_1905.txt","heiberg_charaktere_1901.txt",3
"sturza_geluebde_1905.txt","akunian_fluegel_1895.txt",2
"sturza_geluebde_1905.txt","sapper_pfaffling_1907.txt",1
"storm_basch_1887.txt","kretzer_timpe_1888.txt",3
"storm_basch_1887.txt","schubin_vollmondzauber01_1899.txt",2
"storm_basch_1887.txt","strindberg_inselbauern_1918.txt",1
"wassermann_vierzig_1913.txt","wassermann_moloch_1902.txt",3
"wassermann_vierzig_1913.txt","meyer_borgia_1891.txt",2
"wassermann_vierzig_1913.txt","meyer_richterin_1885.txt",1
"meyer_monchs_1884.txt","meyer_borgia_1891.txt",3
"meyer_monchs_1884.txt","grillparzer_kloster_1827.txt",2
"meyer_monchs_1884.txt","hauptmann_bahnwaerter_1892.txt",1
"meyer_borgia_1891.txt","meyer_monchs_1884.txt",3
"meyer_borgia_1891.txt","wassermann_spiegel_1911.txt",2
"meyer_borgia_1891.txt","grillparzer_kloster_1827.txt",1
"meyer_richterin_1885.txt","wassermann_moloch_1902.txt",3
"meyer_richterin_1885.txt","wassermann_vierzig_1913.txt",2
"meyer_richterin_1885.txt","meyer_pescara_1887.txt",1
"meyer_pescara_1887.txt","mann_tristan_1903.txt",3
"meyer_pescara_1887.txt","schubin_vollmondzauber01_1899.txt",2
"meyer_pescara_1887.txt","mann_zauberberg_1924.txt",1
"keyserling_beatemareile_1903.txt","polenz_buettnerbauer_1895.txt",3
"keyserling_beatemareile_1903.txt","falke_durchschnitt_1892.txt",2
"keyserling_beatemareile_1903.txt","schubin_vollmondzauber01_1899.txt",1
"goethe_werther.txt","walser_geschwister_1907.txt",3
"goethe_werther.txt","fontane_stechlin_1899.txt",2
"goethe_werther.txt","fontane_irrungen_1888.txt",1
"goethe_farbenlehre.txt","hoffmann_zaches.txt",3
"goethe_farbenlehre.txt","heyking_erzaehlungen_1918.txt",2
"goethe_farbenlehre.txt","lasswitz_planeten01_1897.txt",1
"goethe_wahlverwandtschaften.txt","goethe_lehr.txt",3
"goethe_wahlverwandtschaften.txt","walser_prosastücke_1917.txt",2
"goethe_wahlverwandtschaften.txt","walser_gehuelfe_1908.txt",1
"goethe_italiensche.txt","walser_kleine_1914.txt",3
"goethe_italiensche.txt","flaubert_november_1842.txt",2
"goethe_italiensche.txt","walser_spaziergang_1917.txt",1
"goethe_lehr.txt","goethe_wahlverwandtschaften.txt",3
"goethe_lehr.txt","walser_prosastücke_1917.txt",2
"goethe_lehr.txt","walser_gehuelfe_1908.txt",1
"goethe_wander.txt","fontane_wuthenow_1883.txt",3
"goethe_wander.txt","spyri_heidibrauchen_1881.txt",2
"goethe_wander.txt","walser_prosastücke_1917.txt",1
"goethe_faust2.txt","fontane_wuthenow_1883.txt",3
"goethe_faust2.txt","altenberg_prodromos_1906.txt",2
"goethe_faust2.txt","walser_gehuelfe_1908.txt",1
"goethe_faust1.txt","fontane_wuthenow_1883.txt",3
"goethe_faust1.txt","goethe_werther.txt",2
"goethe_faust1.txt","goethe_faust2.txt",1
"dery_liebe_1896.txt","spyri_heidibrauchen_1881.txt",3
"dery_liebe_1896.txt","fontane_irrungen_1888.txt",2
"dery_liebe_1896.txt","goethe_faust2.txt",1
"raabe_stopfkuchen_1891.txt","raabe_akten_1896.txt",3
"raabe_stopfkuchen_1891.txt","fontane_reise_1894.txt",2
"raabe_stopfkuchen_1891.txt","dickens_copperfield_1111.txt",1
