Source,Target,Type,Id,Label,timeset,Weight
bonsels_himmelsvolk_1915_de,stifter_studienhaidedorf_1840_de,Undirected,1371,,,2
bonsels_himmelsvolk_1915_de,walser_kleine_1914_de,Undirected,1372,,,24
bonsels_himmelsvolk_1915_de,wassermann_spiegel_1911_de,Undirected,1373,,,2
bonsels_indien_1916_de,bonsels_maja_1912_de,Undirected,1375,,,106
bonsels_indien_1916_de,flaubert_november_1842_fra,Undirected,1376,,,54
bonsels_indien_1916_de,grillparzer_spielmann_1847_de,Undirected,1377,,,2
bonsels_indien_1916_de,hagenauer_muspilli_1900_de,Undirected,1378,,,84
bonsels_indien_1916_de,keller_sinngedicht_1882_de,Undirected,1379,,,6
bonsels_indien_1916_de,mann_venedig_1913_de,Undirected,1380,,,42
bonsels_indien_1916_de,wassermann_spiegel_1911_de,Undirected,1381,,,48
bonsels_maja_1912_de,keyserling_beatemareile_1903_de,Undirected,1386,,,64
bonsels_maja_1912_de,mann_tristan_1903_de,Undirected,1387,,,4
bonsels_maja_1912_de,musil_haus_1908_de,Undirected,1388,,,2
bonsels_maja_1912_de,preuschen_yoshiwara_1920_de,Undirected,1389,,,2
bonsels_maja_1912_de,sapper_dummerle_1905_de,Undirected,1390,,,4
brod_beer_1912_de,hesse_rad_1906_de,Undirected,1392,,,78
brod_beer_1912_de,kafka_verwandlung_1915_de,Undirected,1393,,,28
brod_beer_1912_de,musil_mann1_1930_de,Undirected,1394,,,2
brod_beer_1912_de,musil_toerless_1906_de,Undirected,1395,,,116
brod_beer_1912_de,polenz_buettnerbauer_1895_de,Undirected,1396,,,6
brod_beer_1912_de,schnitzler_traumnovelle_1926_de,Undirected,1397,,,6
brod_stunde_1916_de,brodkafka_samuel_1912_de,Undirected,1399,,,8
brod_stunde_1916_de,dostoevskij_idiot_1889_ru,Undirected,1400,,,38
brod_stunde_1916_de,einstein_bebuquin_1912_de,Undirected,1401,,,8
brod_stunde_1916_de,kafka_bau_1928_de,Undirected,1402,,,6
brod_stunde_1916_de,kafka_hungerkünstler_1924_de,Undirected,1403,,,34
brod_stunde_1916_de,lasswitz_seife_1890_de,Undirected,1404,,,6
brod_stunde_1916_de,musil_mann1_1930_de,Undirected,1405,,,24
brod_stunde_1916_de,musil_mann2_1930_de,Undirected,1406,,,6
brod_stunde_1916_de,musil_mann3_1930_de,Undirected,1407,,,104
brod_stunde_1916_de,walser_jakob_1909_de,Undirected,1408,,,12
brodkafka_samuel_1912_de,goethe_italienische_1786_de,Undirected,1411,,,28
brodkafka_samuel_1912_de,kafka_bau_1928_de,Undirected,1412,,,64
brodkafka_samuel_1912_de,kafka_betrachtung_1912_de,Undirected,1413,,,24
brodkafka_samuel_1912_de,kafka_hungerkünstler_1924_de,Undirected,1414,,,36
brodkafka_samuel_1912_de,kafka_landarzt_1920_de,Undirected,1415,,,94
brodkafka_samuel_1912_de,kafka_prozess_1925_de,Undirected,1416,,,16
conradi_adam_1889_de,falke_nebel_1899_de,Undirected,1420,,,30
conradi_adam_1889_de,hagenauer_muspilli_1900_de,Undirected,1421,,,62
conradi_adam_1889_de,holz_hamlet_1889_de,Undirected,1422,,,10
conradi_adam_1889_de,musil_toerless_1906_de,Undirected,1423,,,2
conradi_adam_1889_de,reventlow_dames_1913_de,Undirected,1424,,,30
conradi_adam_1889_de,walser_jakob_1909_de,Undirected,1425,,,26
dery_liebe_1896_de,einstein_bebuquin_1912_de,Undirected,1428,,,6
dery_liebe_1896_de,eschstruth_katz_1886_de,Undirected,1429,,,130
dery_liebe_1896_de,goethe_werther_1787_de,Undirected,1430,,,12
dery_liebe_1896_de,kafka_kuebelreiter_1917_de,Undirected,1431,,,4
dery_liebe_1896_de,lasswitz_seife_1890_de,Undirected,1432,,,2
dery_liebe_1896_de,walser_jakob_1909_de,Undirected,1433,,,24
dery_liebe_1896_de,walser_kleine_1914_de,Undirected,1434,,,54
dickens_copperfield_1850_en,dickens_twist_1838_en,Undirected,1436,,,180
dickens_copperfield_1850_en,dickens_weihnachts_1843_en,Undirected,1437,,,100
dickens_copperfield_1850_en,dickens_zweist_1859_en,Undirected,1438,,,202
dickens_copperfield_1850_en,flaubert_november_1842_fra,Undirected,1439,,,6
dickens_copperfield_1850_en,goethe_werther_1787_de,Undirected,1440,,,30
dickens_copperfield_1850_en,grillparzer_spielmann_1847_de,Undirected,1441,,,2
dickens_copperfield_1850_en,hagenauer_muspilli_1900_de,Undirected,1442,,,6
dickens_copperfield_1850_en,stifter_nachsommer_1857_de,Undirected,1443,,,2
dickens_copperfield_1850_en,sturza_geluebde_1905_de,Undirected,1444,,,16
dickens_copperfield_1850_en,tolstoy_romanehe_1921_ru,Undirected,1445,,,62
dickens_twist_1838_en,dickens_weihnachts_1843_en,Undirected,1448,,,32
dickens_twist_1838_en,dickens_zweist_1859_en,Undirected,1449,,,78
dickens_twist_1838_en,hamsun_weiber_1922_sca,Undirected,1450,,,28
dickens_twist_1838_en,hesse_knulp_1915_de,Undirected,1451,,,2
dickens_twist_1838_en,schreiner_halket_1898_de,Undirected,1452,,,12
dickens_twist_1838_en,wassermann_moloch_1902_de,Undirected,1453,,,12
dickens_weihnachts_1843_en,dickens_zweist_1859_en,Undirected,1456,,,224
dickens_weihnachts_1843_en,flaubert_schule_1870_fra,Undirected,1457,,,2
dickens_weihnachts_1843_en,schreiner_halket_1898_de,Undirected,1458,,,4
dickens_weihnachts_1843_en,tolstoy_anna_1920_ru,Undirected,1459,,,2
dickens_weihnachts_1843_en,wassermann_moloch_1902_de,Undirected,1460,,,4
dickens_zweist_1859_en,flaubert_schule_1870_fra,Undirected,1464,,,6
